"German,English,Type,Level"
" bringen,to bring,V,E"
"das Brot,bread,N,E"
"das Brötchen,bread roll,N,E"
"die Brücke,bridge,N,M"
"der Bruder,brother,N,E"
"das Buch,book,N,E"
"die Burg,""castle, fortress"",N,M"
"das Büro,office,N,E"
" bunt,""brightly coloured, colorful"",A,M"
"der Campingplatz,""camping ground,campground"",N,M"
"der Cousin,""male cousin,cousin"",N,E"
"die Cousine,""female cousin,cousin"",N,E"
" dann,then,M,E"
" dass,that,M,E"
" dauern,to last,V,H"
" decken,to cover,V,H"
" denken,to think,V,E"
" denn,""for, because"",M,E"
" deshalb,therefore,M,H"
" dick,""fat, thick"",A,E"
" dieser, diese, dieses,this,M,E"
"der Direktor,principal,N,E"
"der Dom,cathedral,N,H"
" doof,""stupid, dumb"",A,M"
" dort,there,M,E"
"das Dorf,village,N,M"
"die Drogerie,""chemist, drugstore"",N,M"
" dumm,""stupid, dumb"",A,E"
" dunkel,dark,A,E"
" dünn,thin,A,E"
" dürfen,""to be allowed to, to may,may,allowed,permission, to have permission"",V,M"
"sich duschen,""to have a shower, to shower, to shower onesself, to take a shower"",V,E"
" echt,""real, genuine"",A,M"
"die Ecke,corner,N,M"
"das Ei,egg,N,E"
" einige,several,A,M"
" einfach,easy,A,E"
" einkaufen gehen,to go shopping,V,E"
" einladen,to invite,V,E"
" einsteigen,""to get in, to climb in, to board"",V,E"
"der Einwohner,""inhabitant,resident"",N,M"
"das Einzelkind,""only child,single child, single kid, only kid"",N,M"
"das Eis,""ice, icecream, ice cream"",N,E"
"die Eltern,parents,N,E"
" empfehlen,to recommend,V,M"
" endlich,finally,A,H"
" eng,""narrow, tight"",A,H"
" Entschuldigung,""excuse me, sorry"",M,E"
"das Erdgeschoss,""ground floor,groundfloor"",N,H"
" erklären,to explain,V,M"
"sich erkälten,to catch a cold,V,H"
" ernst,serious,A,E"
" erstaunt,surprised,A,M"
" erzählen,""to relate,to explain"",V,M"
" essen,to eat,V,E"
" etwas,something,N,E"
"der Euro,Euro,N,E"
"das Fach,school subject,N,H"
" fahren,""to go, to drive"",V,E"
"das Fahrrad,""bicycle, bike"",N,E"
" fallen,to fall,V,E"
" falsch,""false, wrong"",A,E"
"die Familie,family,N,E"
"die Farbe,colour,N,E"
" fast,almost,M,M"
" faul,lazy,A,E"
"der Fehler,mistake,N,M"
" feiern,to celebrate,V,E"
"das Fenster,window,N,E"
"die Ferien,holidays,N,M"
" fernsehen,to watch TV,V,M"
"der Fernseher,tv,N,E"
" fertig,""ready, finished"",A,E"
"das Fest,festival,N,M"
"das Fieber,fever,N,M"
"die Figur,figure,N,E"
" finden,to find,V,E"
" flach,flat,A,M"
"die Flasche,bottle,N,E"
"das Fleisch,meat,N,E"
" fleißig,diligent,A,H"
" fliegen,to fly,V,E"
"der Flughafen,airport,N,E"
"das Flugzeug,""plane,airplane"",N,E"
"der Fluss,river,N,M"
" fragen,to ask,V,E"
" Frankreich,France,N,M"
" Französisch,French,N,M"
"die Fremdsprache,foreign language,N,M"
"sich freuen auf,""to look forward to, to be excited for"",V,H"
" froh,""happy, glad"",A,H"
" fröh,early,A,H"
"der Frühling,spring,N,E"
" frühstücken,""to have breakfast, to eat breakfast"",V,E"
"sich fühlen,to feel,V,H"
"der Fährerschein,""driver's licence, license,drivers license"",N,H"
"der Fuß,foot,N,E"
"der Fußball,football,N,E"
"die Fußgängerzone,pedestrian area,N,M"
" ganz,""quite, really, whole"",M,E"
"der Garten,garden,N,E"
"der Gast,guest,N,M"
"das Gebäude,building,N,M"
" geben,to give,V,E"
" geboren,""born, to be born, to born, to birth"",V,H"
"der Geburtstag,birthday,N,E"
" gefährlich,dangerous,A,H"
"die Gegend,""district, area"",N,H"
" gehen,to go,V,E"
" gelb,yellow,A,E"
"das Geld,money,N,E"
" gemein,mean,A,M"
"das Gemüse,vegetable,N,E"
" genau,exactly,M,E"
" genug,enough,M,E"
" geradeaus,""straight ahead, straight"",A,E"
"das Geschäft,""shop, business"",N,M"
"das Geschenk,present,N,E"
"die Geschichte,""history, story"",N,M"
"die Geschwister,siblings,N,E"
"das Gesicht,face,N,M"
" gestern,yesterday,N,E"
" gesund,healthy,A,E"
" gewinnen,to win,V,M"
" gewöhnlich,usually,M,H"
"es gibt,""there is, there are, it gives"",M,E"
" glatt,""smooth, straight"",A,M"
" glauben,""to think, to believe"",V,E"
"das Gleis,""track, platform"",N,E"
" glücklich,""happy, lucky"",A,E"
"der,das Grad,degrees,N,M"
" grau,grey,A,E"
"die Grippe,""influenza, flu"",N,H"
" grillen,""to barbecue, to grill"",V,M"
" groß,""big, tall"",A,E"
"die Großeltern,grandparents,N,E"
" grün,green,A,E"
"die Grundschule,""primary school,elementary school"",N,M"
" gucken,""to look, to watch"",V,H"
" gut,good,A,E"
"das Gymnasium,""academic high school, high school"",N,E"
"die Haare,hair,N,E"
"der Hafen,""harbour, harbor"",N,H"
" halb,half,A,E"
"der Hals,""neck, throat"",N,M"
"die Haltestelle,""bus stop, tram stop"",N,E"
"das Handy,""cell phone,cellphone,phone"",N,E"
" hässlich,ugly,A,E"
"die Hauptstadt,""capital city, capital"",N,E"
"das Haus,house,N,E"
"die Hausaufgaben,homework,N,M"
"das Haustier,pet,N,E"
"das Heft,exercise book,N,H"
" heiß,hot,A,E"
" heißen,to be called,V,E"
" helfen,to help,V,E"
" hell,""light, bright"",A,E"
"das Hemd,shirt,N,M"
"der Herbst,""autumn, fall"",N,E"
" herrlich,""splendid, wonderful, great"",A,H"
" heute,today,V,E"
" hier,here,M,E"
" hilfsbereit,helpful,A,H"
" hoch,high,A,E"
" hoffentlich,hopefully,M,M"
" holen,to fetch,V,H"
" hören,""to hear, to listen"",V,E"
"die Hose,""pair of pants,trousers,pants"",N,E"
" hübsch,pretty,A,E"
"der Hund,dog,N,E"
" immer,always,M,E"
" Informatik,""computer studies, computer science"",N,M"
"die Insel,island,N,M"
" interessant,interesting,A,E"
"die Jacke,jacket,N,E"
"das Jahr,year,N,E"
"die Jahreszeit,season,N,H"
" jeder, jede, jedes,""each, every"",M,H"
" jemand,someone,N,E"
"die Jugendherberge,youth hostel,N,H"
"das Jugendzentrum,youth centre,N,H"
"der Kaffee,coffee,N,E"
"die Karte,""card, ticket, map"",N,E"
"die Kartoffeln,potatoes,N,E"
"der Käse,cheese,N,E"
"die Kasse,""checkout, till"",N,E"
"das Kaufhaus,""department store,shopping center, mall"",N,M"
" kaum,""hardly, scarcely, barely"",A,H"
"der Keller,cellar,N,E"
" kennen,""to know, to be acquainted"",V,E"
"die Kerze,candle,N,M"
"das Kind,child,N,E"
"das Kino,cinema,N,E"
"die Kirche,church,N,E"
"die Klamotten,clothes,N,M"
" klar,clear,A,E"
"die Klasse,class,N,E"
"die Klassenarbeit,""assessment test,classwork"",N,M"
"die Klassenfahrt,""class trip,field trip"",N,M"
"das Kleid,dress,N,E"
"die Kneipe,pub,N,H"
"der Koffer,suitcase,N,M"
" kommen,to come,V,E"
"die Konditorei,""cake shop, cake store"",N,H"
"der Kopf,head,N,E"
" kosten,to cost,V,E"
" krank,sick,N,E"
"die Küche,kitchen,N,E"
"der Kuchen,cake,N,E"
"die Kuh,cow,N,E"
"der Kühlschrank,fridge,N,E"
"der Kuli,ballpoint pen,N,H"
"die Kunst,art,N,E"
" kurz,short,A,E"
"die Küste,coast,N,H"
" lachen,to laugh,V,M"
" lächeln,to smile,V,M"
"das Land,""country, state"",N,E"
"die Landschaft,""scenery, landscape"",N,H"
" lang,long,A,E"
" langsam,slow,A,E"
" langweilig,boring,A,E"
"der Lärm,noise,N,M"
" lassen,to let,V,E"
" laufen,""to go, walk, to run"",V,E"
" laut,loud,A,E"
" leben,to live,V,E"
" lecker,delicious,A,E"
" leer,empty,A,E"
" legen,to put,V,M"
"die Lehrerin,""female teacher,teacher"",N,E"
"der Lehrer,""male teacher,teacher"",N,E"
" leider,unfortunately,M,E"
" lernen,to learn,V,E"
" lesen,to read,V,E"
"die Leute,people,N,E"
" lieb,""kind, dear"",A,H"
" lieben,to love,V,E"
" liegen,""to be situated, to lie"",V,H"
" links,""on the left, left"",M,E"
" lockig,curly,A,M"
" lustig,funny,A,E"
"das Mädchen,girl,N,E"
" manchmal,sometimes,M,E"
"der Mann,""man, husband"",N,E"
"der Mantel,coat,N,E"
"der Markt,market,N,M"
"die Mauer,""outside wall,wall"",N,H"
"die Maus,mouse,N,E"
" Mathe,""Maths, math"",N,E"
"das Meer,sea,N,M"
" mehr,more,M,E"
" meinen,""to think, to mean"",V,M"
" meistens,mostly,A,M"
"der Mensch,person,N,E"
"die Milch,milk,N,E"
" mindestens,""at least, minimum"",M,H"
"der Mittag,noon,N,E"
"das Mittagessen,lunch,N,E"
" Mitternacht,midnight,N,E"
"die Möbel,furniture,N,M"
" modisch,fashionable,A,H"
" möchten,""would like to, to like to"",V,E"
" mögen,to like,V,M"
" möglich,possible,M,H"
"der Monat,month,N,E"
" Montag,Monday,N,E"
"der Morgen,morning,N,E"
" morgen,tomorrow,N,E"
" müde,tired,A,E"
"der Mund,mouth,N,E"
" müssen,""to must, to have to"",V,E"
"die Mutter,mother,N,E"
"der Nachbar,neighbour,N,E"
"der Nachmittag,afternoon,N,E"
"die Nachrichten,news,N,E"
" nächste,""next, nearest"",M,E"
"die Nacht,night,N,E"
"der Nachtisch,dessert,N,E"
"die Nase,nose,N,E"
" nass,wet,A,E"
" natürlich,""naturally, of course"",M,E"
"die Naturwissenschaften,science,N,E"
" neblig,foggy,A,H"
" nehmen,to take,V,E"
" nervig,annoying,A,H"
" nett,nice,A,E"
" neu,new,A,E"
" Neuseeland,New Zealand,N,H"
" nichts,nothing,N,E"
" nie,never,A,E"
" Niemand,nobody,N,E"
" noch,still,M,E"
" im Norden,in the north,M,M"
"die Nordsee,""North Sea,northsea"",N,M"
" normalerweise,""normally, usually"",M,E"
"die Note,""school mark, musical note,grade"",N,M"
" nötig,necessary,M,H"
"die Nudeln,noodles,N,E"
"die Nummer,number,N,E"
" nur,only,M,E"
" ob,""if, whether"",M,M"
" oben,""upstairs,above"",A,E"
"das Obst,fruit,N,E"
" oder,or,M,E"
" offen,to open,V,E"
" oft,often,M,M"
"das Ohr,ear,N,E"
"der Onkel,uncle,N,E"
"der Ort,place,N,M"
" im Osten,in the east,M,M"
" Österreich,Austria,N,M"
"die Ostsee,Baltic Sea,N,M"
"ein paar,""a few, a couple, several"",A,E"
"das Paar,""pair,couple"",N,M"
"das Paket,""parcel, packet"",N,M"
"das Papier,paper,N,E"
" passen,""to suit, to fit"",V,M"
" passieren,to happen,V,M"
"die Pause,""interval,pause,break"",N,E"
"das Pferd,horse,N,E"
"der Platz,place,N,M"
" plötzlich,suddenly,M,H"
"die Polizei,police,N,E"
" praktisch,practical,M,M"
" prima,""fantastic,excellent,great"",A,H"
"die Prüfung,""exam, test"",N,E"
" pünktlich,""punctual, timely, on time"",A,M"
" putzen,to clean,V,M"
" Rad fahren,""to go bike riding, to bikeride, to bike ride, to ride a bike"",V,E"
"das Rathaus,""town hall, townhall"",N,E"
" rechts,""on the right, right"",M,E"
"es regnet,""it's raining, it is raining, it rains, its raining"",M,M"
" reich,rich,A,M"
" reisen,to travel,V,M"
" reiten,""to horse-ride, to ride a horse, to ride"",V,M"
" relativ,""relatively, relative to, relative"",M,M"
" reservieren,to reserve,V,M"
" richtig,""correct, right"",A,E"
"die Richtung,direction,N,M"
"der Rock,skirt,N,E"
" rosa,pink,A,E"
" rot,red,A,E"
"der Rücken,back,N,M"
" rufen,""to call, shout"",V,M"
" ruhig,quiet,A,M"
"die Sache,thing,N,M"
"der Saft,juice,N,E"
" sagen,to say,V,E"
"der Salat,""lettuce, salad"",N,E"
" sammeln,to collect,V,H"
" sauber,clean,A,E"
" sauer auf,""to be sour at, to be mad at,sour of, sour on,sour at,mad at"",V,M"
"das Schaf,sheep,N,M"
" scheinen,""to seem, to shine, to appear"",V,M"
" schicken,to send,V,E"
"der Schinken,ham,N,M"
" schlafen,to sleep,V,E"
"das Schlafzimmer,bedroom,N,E"
" schlagen,to hit,V,H"
" schlank,slim,A,H"
" schlecht,bad,A,E"
"das Schloss,castle,N,M"
" schmecken,to taste,V,M"
"die Schmerzen,pain,N,M"
" schmutzig,dirty,A,M"
"es schneit,""it's snowing, it is snowing, it snows"",V,M"
" schnell,""quickly, fast"",A,E"
"der Schnellimbiss,fast food outlet,N,H"
"der Schnupfen,head cold,N,H"
"die Schokolade,chocolate,N,E"
" schön,beautiful,A,E"
" schon,already,M,E"
"der Schrank,""cupboard, closet"",N,E"
" schrecklich,terrible,A,M"
" schreiben,to write,V,E"
" schüchtern,shy,A,M"
"der Schuh,shoe,N,E"
"die Schule,school,N,E"
"die Schülerin,""girl student, student"",N,E"
"der Schüler,""boy student, student"",N,E"
" schwach,weak,A,E"
" schwarz,black,A,E"
"die Schweiz,Switzerland,N,M"
" schwer,""heavy, difficult"",A,E"
"die Schwester,sister,N,E"
" schwierig,difficult,A,M"
"das Schwimmbad,swimming pool,N,E"
" schwimmen,to swim,V,E"
"der See,lake,N,M"
" segeln,to sail,V,H"
"die Sehenswürdigkeiten,tourist sights,N,H"
" sehr,very,M,E"
" sein,to be,V,E"
"die Seite,""side, page"",N,M"
" selbst,""self, even"",M,M"
"der Senf,mustard,N,M"
" September,September,N,E"
"sich setzen,to sit down,V,M"
" shoppen,""to go shopping,to shop"",V,E"
" sitzen,""to sit down,to sit"",V,E"
" sitzen bleiben,to repeat the year,V,H"
" sofort,immediately,A,H"
"der Sommer,summer,N,E"
" sondern,""but, rather, instead"",M,H"
"die Sonne,sun,N,E"
"der Sonnenbrand,sunburn,N,M"
" sonst,otherwise,M,H"
" spannend,exciting,A,H"
" sparen,""to save money, to save"",V,H"
" spät,late,A,E"
" spazieren gehen,""to go for a walk,to go on a walk, to walk"",V,E"
" spielen,to play,V,E"
" Sport treiben,""to do sport, to play sports, to do sports, to sport"",V,M"
" sportlich,""sporty,sportly"",A,E"
" sprechen,to speak,V,E"
"das Stadion,stadium,N,M"
"die Stadt,""town, city"",N,E"
" stark,strong,A,E"
" stattfinden,to take place,V,H"
" stehen,to stand,V,M"
" stellen,""to put, to place, to set"",V,M"
"die Stiefmutter,""stepmother,step mother,step-mother"",N,M"
"der Stiefvater,""stepfather,step father,step-father"",N,M"
"der Strand,beach,N,M"
"die Straße,street,N,E"
"die Straßenbahn,tram,N,E"
" streng,strict,A,H"
"das Stück,piece,N,E"
"der Stuhl,chair,N,E"
"die Stunde,""lesson, hour"",N,E"
"der Stundenplan,""timetable,schedule"",N,M"
" suchen,""to look for,to search, to search for"",V,E"
"im Süden,in the south,M,M"
"der Supermarkt,supermarket,N,E"
"die Suppe,soup,N,E"
" surfen,to surf,V,M"
" süß,sweet,A,E"
"die Süßigkeiten,sweets,N,H"
" sympathisch,""pleasant, nice"",A,M"
"der Tag,day,N,E"
"das Tal,valley,N,H"
"die Tante,aunt,N,E"
" tanzen,to dance,V,E"
"die Tasche,""bag, pocket"",N,E"
"die Tasse,cup,N,E"
"der Tee,tea,N,E"
"der, das Teil,part,N,M"
"der Teppich,carpet,N,M"
"der Termin,appointment,N,M"
" teuer,expensive,A,E"
"das Theater,""theatre, theater"",N,E"
"das Tier,animal,N,E"
"der Tisch,table,N,E"
" toll,great,A,E"
"die Torte,""cake, gateau"",N,E"
" total,""absolutely, completely"",A,E"
" tragen,""to carry, to wear"",V,E"
" traurig,sad,A,E"
"sich treffen,to meet,V,E"
"die Treppe,stairs,N,E"
" trinken,to drink,V,E"
" trocken,dry,A,E"
"die Tür,door,N,E"
"die Tüte,shopping bag,N,M"
"die U-Bahn,""underground, subway"",N,E"
" üben,to practice,V,H"
" übermorgen,day after tomorrow,N,M"
" übernachten,""to stay the night, to spend the night, to stay overnight"",V,M"
"die Uhr,""clock, watch"",N,E"
" umsteigen,to transfer,V,H"
" ungefähr,""approximately,about"",M,H"
" unten,""downstairs, under, below"",A,E"
"der Unterricht,""lessons,lesson"",N,M"
" unterwegs,on the way,M,H"
"der Urlaub,""holiday,vacation"",N,E"
"der Vater,father,N,E"
" verboten,""forbidden, to forbid"",V,M"
" verbringen,to spend time,V,H"
" vergessen,to forget,V,E"
" verkaufen,to sell,V,M"
" verlassen,to leave,V,H"
" verlieren,to lose,V,H"
" verpassen,to miss,V,H"
" verstehen,to understand,V,E"
" versuchen,to try,V,E"
"der, die Verwandte,""relation, relative"",N,H"
" vielleicht,""perhaps,maybe"",M,E"
"der Vogel,bird,N,E"
" voll,full,A,E"
" vorbereiten,to prepare,V,H"
" vorgestern,day before yesterday,N,M"
" vorhaben,""to plan, to intend"",V,H"
"der Vormittag,morning,N,M"
"der Vorname,first name,N,E"
"der Wagen,car,N,E"
" wahr,""true, real"",A,H"
" wahrscheinlich,probably,M,H"
"der Wald,forest,N,M"
"die Wand,""inside wall, wall"",N,E"
" wandern,""to go hiking,to hike"",V,M"
" aufwarten ,""to wait for, to wait on"",V,H"
" waschen,to wash,V,M"
"das Wasser,water,N,E"
" wecken,""to wake,to wake somebody, to wake someone, to wake up someone, to wake up somebody"",V,M"
" weg,away,A,E"
"der Weg,path,N,E"
" Weihnachten,Christmas,N,E"
" weil,because,M,E"
"der Wein,wine,N,E"
" weiß,white,A,E"
" weit,far,A,M"
" welcher, welche, welches,which,M,E"
"die Welt,world,N,E"
" wenig,""few, hardly any,less"",A,E"
" wenn,""when, if"",M,E"
" werden,to become,V,M"
" im Westen,in the west,M,M"
"das Wetter,weather,N,E"
" wichtig,important,A,E"
" wieder,again,M,E"
" wiederholen,to repeat,V,E"
" windig,windy,A,M"
"der Winter,winter,N,E"
" wirklich,really,M,E"
"die Woche,week,N,E"
"das Wochenende,weekend,N,E"
" woher,where from,M,M"
" wohin,where to,M,M"
" wohnen,to live,V,E"
"die Wohnung,""flat, apartment"",N,E"
" wolkig,cloudy,A,H"
" wollen,""to want to, to want"",V,M"
"das Wort,word,N,E"
" wunderbar,wonderful,A,E"
"die Wurst,sausage,N,E"
" zeigen,to show,V,M"
"die Zeit,time,N,E"
"die Zeitung,newspaper,N,E"
"das Zelt,tent,N,H"
"das Zeugnis,school report,N,H"
" ziemlich,""quite, rather,seemingly"",M,H"
"das Zimmer,room,N,E"
" zuerst,first of all,M,M"
"der Zug,train,N,E"
" zuhören,to listen,V,M"
" zumachen,to shut,V,M"
" zurück,back,M,M"
" zusammen,Together,M,M"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
",,,"
